date,datetime,stockid,userid,artid,reply,likes
2021/08/16,2021/08/16 11:15,4976,6494648,130438126,5,24
2021/08/16,2021/08/16 10:34,4976,3880505,130431666,2,5
2021/08/16,2021/08/16 09:40,4976,461045,130422438,12,28
2021/08/16,2021/08/16 09:33,4976,7509594,130421301,0,4
2021/08/16,2021/08/16 09:31,4976,7509594,130421030,0,2
2021/08/16,2021/08/16 09:30,4976,4792161,130420871,0,10
2021/08/16,2021/08/16 01:59,4976,6263718,130405746,1,21
2021/08/14,2021/08/14 18:46,4976,3925460,130328877,2,24
2021/08/14,2021/08/14 09:13,4976,8756719,130301869,0,11
2021/08/14,2021/08/14 07:44,4976,5773144,130298278,0,10
2021/08/13,2021/08/13 21:32,4976,7080853,130277584,3,7
2021/08/13,2021/08/13 16:30,4976,4174475,130252043,0,18
2021/08/13,2021/08/13 13:46,4976,4174475,130228948,5,18
2021/08/13,2021/08/13 13:43,4976,11553481,130228376,3,10
2021/08/13,2021/08/13 13:40,4976,11553481,130227888,2,9
2021/08/13,2021/08/13 13:37,4976,11553481,130227225,0,4
2021/08/13,2021/08/13 12:29,4976,10694722,130215469,1,3
2021/08/13,2021/08/13 12:23,4976,8742901,130214316,0,5
2021/08/13,2021/08/13 11:36,4976,13195735,130206569,0,4
2021/08/13,2021/08/13 11:34,4976,8742901,130206332,5,2
2021/08/13,2021/08/13 09:11,4976,1571400,130181259,6,5
2021/08/12,2021/08/12 23:28,4976,7288098,130156785,2,7
2021/08/12,2021/08/12 22:30,4976,8756719,130151801,2,5
2021/08/12,2021/08/12 22:21,4976,3848684,130150842,0,5
2021/08/12,2021/08/12 16:09,4976,4547184,130111849,1,9
2021/08/12,2021/08/12 15:42,4976,12326804,130108450,14,28
2021/08/12,2021/08/12 14:44,4976,478112,130101736,2,7
2021/08/12,2021/08/12 14:31,4976,7594266,130100414,2,11
2021/08/12,2021/08/12 13:56,4976,6891948,130095141,2,6
2021/08/12,2021/08/12 13:16,4976,3880505,130088388,1,6
2021/08/12,2021/08/12 12:02,4976,1173353,130077562,8,7
2021/08/12,2021/08/12 11:53,4976,13195735,130075940,3,3
2021/08/12,2021/08/12 11:27,4976,10694722,130072002,0,9
2021/08/12,2021/08/12 11:05,4976,5164782,130068722,1,6
2021/08/12,2021/08/12 10:53,4976,4792161,130066538,5,13
2021/08/12,2021/08/12 10:45,4976,5340114,130065356,5,4
2021/08/12,2021/08/12 10:13,4976,8742901,130060220,5,2
2021/08/12,2021/08/12 09:47,4976,7162949,130055850,0,1
2021/08/12,2021/08/12 09:44,4976,6792802,130055478,2,2
2021/08/12,2021/08/12 09:39,4976,10694722,130054545,0,5
2021/08/12,2021/08/12 09:21,4976,5340114,130051439,0,2
2021/08/12,2021/08/12 09:19,4976,6474447,130051159,0,1
2021/08/12,2021/08/12 06:53,4976,819484,130038957,2,12
2021/08/12,2021/08/12 02:19,4976,8742901,130033442,0,6
2021/08/11,2021/08/11 23:30,4976,6775305,130024496,5,10
2021/08/11,2021/08/11 21:29,4976,5189890,130012356,3,13
2021/08/11,2021/08/11 21:03,4976,4749317,130009469,2,6
2021/08/11,2021/08/11 18:26,4976,6494648,129989225,3,3
2021/08/11,2021/08/11 18:05,4976,1173353,129987394,1,9
2021/08/11,2021/08/11 17:18,4976,3809573,129981598,11,12
2021/08/11,2021/08/11 14:30,4976,7162949,129956357,7,4
2021/08/11,2021/08/11 14:13,4976,8742901,129953655,1,2
2021/08/11,2021/08/11 12:46,4976,3748496,129936548,1,3
2021/08/11,2021/08/11 11:41,4976,4174475,129924148,5,11
2021/08/11,2021/08/11 11:31,4976,8742901,129922345,1,5
2021/08/11,2021/08/11 11:10,4976,1370590,129917850,0,5
2021/08/11,2021/08/11 11:08,4976,3836310,129917624,10,4
2021/08/11,2021/08/11 11:06,4976,1571400,129917338,0,8
2021/08/11,2021/08/11 11:03,4976,8742901,129916873,0,6
2021/08/11,2021/08/11 10:56,4976,6792802,129915309,6,7
2021/08/11,2021/08/11 10:53,4976,3809573,129914967,1,7
2021/08/11,2021/08/11 10:23,4976,6543545,129910046,0,3
2021/08/11,2021/08/11 10:05,4976,5779182,129907045,2,4
2021/08/11,2021/08/11 09:08,4976,7509594,129896629,1,3
2021/08/11,2021/08/11 09:07,4976,6474447,129896404,4,6
2021/08/11,2021/08/11 09:04,4976,1571400,129895810,0,6
2021/08/11,2021/08/11 03:08,4976,9043256,129881030,3,11
2021/08/10,2021/08/10 21:55,4976,9727708,129862474,9,33
2021/08/10,2021/08/10 20:38,4976,4704711,129853865,7,9
2021/08/10,2021/08/10 20:04,4976,819484,129850200,3,13
2021/08/10,2021/08/10 18:14,4976,7191601,129838166,3,5
2021/08/10,2021/08/10 17:46,4976,4686068,129835054,0,4
2021/08/10,2021/08/10 17:15,4976,8283683,129831121,7,6
2021/08/10,2021/08/10 17:04,4976,8608137,129829438,2,4
2021/08/10,2021/08/10 15:16,4976,8742901,129811841,0,1
2021/08/10,2021/08/10 14:56,4976,5164604,129808794,3,2
