date,datetime,stockid,userid,artid,reply,likes,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2021-08-19,2021/08/19 10:55,2013,831882,130804748,2,9,2013,20008637.0,1060197553.0,51.6,54.7,50.1,52.5,0.6,12005.0
2021-08-19,2021/08/19 10:48,2013,10444239,130803754,1,5,2013,20008637.0,1060197553.0,51.6,54.7,50.1,52.5,0.6,12005.0
2021-08-19,2021/08/19 10:44,2013,7411516,130803193,1,2,2013,20008637.0,1060197553.0,51.6,54.7,50.1,52.5,0.6,12005.0
2021-08-19,2021/08/19 10:36,2013,6573800,130802121,1,4,2013,20008637.0,1060197553.0,51.6,54.7,50.1,52.5,0.6,12005.0
2021-08-19,2021/08/19 10:34,2013,10444239,130801884,2,2,2013,20008637.0,1060197553.0,51.6,54.7,50.1,52.5,0.6,12005.0
2021-08-19,2021/08/19 10:10,2013,5907392,130798509,1,6,2013,20008637.0,1060197553.0,51.6,54.7,50.1,52.5,0.6,12005.0
2021-08-19,2021/08/19 10:10,2013,7411516,130798405,0,1,2013,20008637.0,1060197553.0,51.6,54.7,50.1,52.5,0.6,12005.0
2021-08-19,2021/08/19 10:05,2013,8887976,130797745,3,3,2013,20008637.0,1060197553.0,51.6,54.7,50.1,52.5,0.6,12005.0
2021-08-19,2021/08/19 09:58,2013,6573800,130796484,2,1,2013,20008637.0,1060197553.0,51.6,54.7,50.1,52.5,0.6,12005.0
2021-08-18,2021/08/18 21:53,2013,5921717,130761368,4,46,2013,11965575.0,604229108.0,47.95,52.1,47.45,51.9,3.15,7539.0
2021-08-18,2021/08/18 18:50,2013,954516,130743927,4,26,2013,11965575.0,604229108.0,47.95,52.1,47.45,51.9,3.15,7539.0
2021-08-18,2021/08/18 15:41,2013,7411516,130723178,2,0,2013,11965575.0,604229108.0,47.95,52.1,47.45,51.9,3.15,7539.0
2021-08-18,2021/08/18 15:23,2013,5907392,130721493,1,10,2013,11965575.0,604229108.0,47.95,52.1,47.45,51.9,3.15,7539.0
2021-08-18,2021/08/18 09:40,2013,5907392,130667278,1,12,2013,11965575.0,604229108.0,47.95,52.1,47.45,51.9,3.15,7539.0
2021-08-17,2021/08/17 20:42,2013,6419885,130624485,1,5,2013,10587503.0,523751363.0,50.5,51.0,47.15,48.75,-2.15,6744.0
2021-08-17,2021/08/17 18:10,2013,12199056,130610775,40,33,2013,10587503.0,523751363.0,50.5,51.0,47.15,48.75,-2.15,6744.0
2021-08-17,2021/08/17 18:07,2013,11981853,130610542,1,12,2013,10587503.0,523751363.0,50.5,51.0,47.15,48.75,-2.15,6744.0
2021-08-17,2021/08/17 16:50,2013,10286482,130603302,8,7,2013,10587503.0,523751363.0,50.5,51.0,47.15,48.75,-2.15,6744.0
2021-08-17,2021/08/17 12:37,2013,3717373,130566507,4,3,2013,10587503.0,523751363.0,50.5,51.0,47.15,48.75,-2.15,6744.0
2021-08-17,2021/08/17 10:05,2013,11729674,130546401,6,14,2013,10587503.0,523751363.0,50.5,51.0,47.15,48.75,-2.15,6744.0
2021-08-17,2021/08/17 09:59,2013,3717373,130545337,0,12,2013,10587503.0,523751363.0,50.5,51.0,47.15,48.75,-2.15,6744.0
2021-08-17,2021/08/17 09:33,2013,1746029,130542054,0,15,2013,10587503.0,523751363.0,50.5,51.0,47.15,48.75,-2.15,6744.0
2021-08-17,2021/08/17 08:35,2013,12707750,130535275,0,6,2013,10587503.0,523751363.0,50.5,51.0,47.15,48.75,-2.15,6744.0
2021-08-17,2021/08/17 08:28,2013,815556,130534858,1,25,2013,10587503.0,523751363.0,50.5,51.0,47.15,48.75,-2.15,6744.0
2021-08-16,2021/08/16 22:22,2013,12061360,130514845,3,3,2013,27761910.0,1395914909.0,48.4,52.7,48.25,50.9,2.95,14415.0
2021-08-16,2021/08/16 21:20,2013,1998007,130508920,9,157,2013,27761910.0,1395914909.0,48.4,52.7,48.25,50.9,2.95,14415.0
2021-08-16,2021/08/16 21:18,2013,5884422,130508651,38,34,2013,27761910.0,1395914909.0,48.4,52.7,48.25,50.9,2.95,14415.0
2021-08-16,2021/08/16 20:49,2013,7453813,130505347,6,112,2013,27761910.0,1395914909.0,48.4,52.7,48.25,50.9,2.95,14415.0
2021-08-16,2021/08/16 20:35,2013,10286482,130503695,0,2,2013,27761910.0,1395914909.0,48.4,52.7,48.25,50.9,2.95,14415.0
2021-08-16,2021/08/16 19:42,2013,680138,130498510,6,16,2013,27761910.0,1395914909.0,48.4,52.7,48.25,50.9,2.95,14415.0
2021-08-16,2021/08/16 18:05,2013,4309899,130490867,19,144,2013,27761910.0,1395914909.0,48.4,52.7,48.25,50.9,2.95,14415.0
2021-08-16,2021/08/16 17:08,2013,5443397,130484232,2,10,2013,27761910.0,1395914909.0,48.4,52.7,48.25,50.9,2.95,14415.0
