date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,datetime,stockid,userid,artid,reply,likes
2021-08-17,6104,20980000,2152758400,104.5,106.5,96.9,97.0,-5.5,12047,2021/08/17 08:36,6104.0,7453813.0,130535385.0,14.0,210.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 22:03,6104.0,7944591.0,130762459.0,4.0,15.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 20:20,6104.0,6064732.0,130752216.0,10.0,181.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 20:01,6104.0,6905785.0,130750440.0,1.0,37.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 19:48,6104.0,1164100.0,130749195.0,0.0,5.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 18:09,6104.0,8159202.0,130741037.0,10.0,12.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 17:50,6104.0,6671333.0,130739559.0,17.0,210.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 15:27,6104.0,5503435.0,130721852.0,1.0,20.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 15:16,6104.0,908138.0,130720822.0,1.0,24.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 14:03,6104.0,8159202.0,130712141.0,9.0,26.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 13:48,6104.0,6904559.0,130709063.0,2.0,10.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 13:44,6104.0,6904559.0,130708407.0,0.0,2.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 13:41,6104.0,4961574.0,130707959.0,4.0,12.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 13:21,6104.0,10982551.0,130704577.0,9.0,75.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 13:12,6104.0,3974071.0,130703064.0,0.0,6.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 13:05,6104.0,662117.0,130701597.0,9.0,75.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 12:46,6104.0,662117.0,130698500.0,5.0,105.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 12:46,6104.0,5825614.0,130698419.0,0.0,2.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 12:42,6104.0,6718258.0,130697568.0,0.0,7.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 12:24,6104.0,4562850.0,130694438.0,2.0,4.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 12:14,6104.0,929581.0,130692945.0,4.0,5.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 12:11,6104.0,4961574.0,130692517.0,4.0,21.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 12:05,6104.0,5333158.0,130691564.0,1.0,7.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 12:01,6104.0,1537285.0,130691001.0,5.0,17.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 11:49,6104.0,5587323.0,130688774.0,0.0,24.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 11:46,6104.0,6626638.0,130688335.0,5.0,38.0
2021-08-18,6104,19643000,2008657500,97.8,106.5,97.5,106.5,9.5,10753,2021/08/18 11:21,6104.0,6904559.0,130684361.0,0.0,3.0
