date,stock_id,deal_price,volume,Time,TickType
2021-01-22,2603,33.35,5764,08:55:22.213,0
2021-01-22,2603,33.4,6265,08:55:27.227,0
2021-01-22,2603,33.4,6265,08:55:32.237,0
2021-01-22,2603,33.4,6265,08:55:37.250,0
2021-01-22,2603,33.4,6266,08:55:42.263,0
2021-01-22,2603,33.4,6266,08:55:47.276,0
2021-01-22,2603,33.4,6264,08:55:52.290,0
2021-01-22,2603,33.4,6264,08:55:57.305,0
2021-01-22,2603,33.35,6268,08:56:02.318,0
2021-01-22,2603,33.35,6274,08:56:07.338,0
2021-01-22,2603,33.35,6277,08:56:12.399,0
2021-01-22,2603,33.35,6257,08:56:17.447,0
2021-01-22,2603,33.3,5428,08:56:22.487,0
2021-01-22,2603,33.1,4419,08:56:27.523,0
2021-01-22,2603,33.05,4427,08:56:32.552,0
2021-01-22,2603,33.05,4432,08:56:37.579,0
2021-01-22,2603,32.9,3584,08:56:42.602,0
2021-01-22,2603,32.8,2634,08:56:47.624,0
2021-01-22,2603,32.6,1759,08:56:52.648,0
2021-01-22,2603,32.6,1752,08:56:57.669,0
2021-01-22,2603,32.6,1767,08:57:02.687,0
2021-01-22,2603,32.5,1779,08:57:07.708,0
2021-01-22,2603,32.5,1794,08:57:12.728,0
2021-01-22,2603,32.5,1825,08:57:17.748,0
2021-01-22,2603,32.5,1809,08:57:22.766,0
2021-01-22,2603,32.5,1790,08:57:27.786,0
2021-01-22,2603,32.6,2142,08:57:32.804,0
2021-01-22,2603,32.6,2141,08:57:37.824,0
2021-01-22,2603,32.6,2141,08:57:42.842,0
2021-01-22,2603,32.6,2130,08:57:47.859,0
2021-01-22,2603,32.6,2129,08:57:52.875,0
2021-01-22,2603,32.6,2140,08:57:57.892,0
2021-01-22,2603,32.6,2142,08:58:02.912,0
2021-01-22,2603,32.6,2152,08:58:07.931,0
2021-01-22,2603,32.6,2157,08:58:12.949,0
2021-01-22,2603,32.6,2171,08:58:17.969,0
2021-01-22,2603,32.6,2174,08:58:22.989,0
2021-01-22,2603,32.6,2187,08:58:28.009,0
2021-01-22,2603,32.6,2187,08:58:33.027,0
2021-01-22,2603,32.6,2194,08:58:38.044,0
2021-01-22,2603,32.6,2201,08:58:43.063,0
2021-01-22,2603,32.55,2217,08:58:48.081,0
2021-01-22,2603,32.6,2307,08:58:53.099,0
2021-01-22,2603,32.6,2350,08:58:58.117,0
2021-01-22,2603,32.6,2351,08:59:03.132,0
2021-01-22,2603,32.6,2376,08:59:08.149,0
2021-01-22,2603,32.6,2143,08:59:13.170,0
2021-01-22,2603,32.6,2282,08:59:18.189,0
2021-01-22,2603,32.6,2408,08:59:23.207,0
2021-01-22,2603,32.6,2436,08:59:28.226,0
2021-01-22,2603,32.6,2411,08:59:33.244,0
2021-01-22,2603,32.6,2449,08:59:38.263,0
2021-01-22,2603,32.6,2555,08:59:43.281,0
2021-01-22,2603,32.6,2561,08:59:48.300,0
2021-01-22,2603,32.55,2675,08:59:53.317,0
2021-01-22,2603,32.5,2803,08:59:58.337,0
2021-01-22,2603,32.45,2809,09:00:00.345,1
2021-01-22,2603,32.4,75,09:00:00.386,2
2021-01-22,2603,32.35,6,09:00:00.477,2
2021-01-22,2603,32.35,6,09:00:00.698,2
2021-01-22,2603,32.35,1,09:00:01.077,1
2021-01-22,2603,32.3,14,09:00:01.144,2
2021-01-22,2603,32.3,2,09:00:01.262,2
2021-01-22,2603,32.3,1,09:00:01.365,2
2021-01-22,2603,32.35,5,09:00:01.368,1
2021-01-22,2603,32.3,2,09:00:01.823,2
2021-01-22,2603,32.35,4,09:00:01.850,1
2021-01-22,2603,32.3,2,09:00:02.090,2
2021-01-22,2603,32.3,5,09:00:02.132,2
2021-01-22,2603,32.45,3,09:00:02.403,1
2021-01-22,2603,32.45,1,09:00:02.523,1
2021-01-22,2603,32.3,2,09:00:02.702,2
2021-01-22,2603,32.4,5,09:00:02.905,1
2021-01-22,2603,32.4,1,09:00:03.175,1
2021-01-22,2603,32.3,1,09:00:03.260,2
2021-01-22,2603,32.3,4,09:00:03.420,2
2021-01-22,2603,32.3,82,09:00:03.446,0
2021-01-22,2603,32.35,1,09:00:03.549,1
2021-01-22,2603,32.35,1,09:00:03.623,1
2021-01-22,2603,32.25,5,09:00:03.862,2
2021-01-22,2603,32.3,20,09:00:04.285,1
2021-01-22,2603,32.3,3,09:00:04.290,0
2021-01-22,2603,32.25,5,09:00:04.683,2
2021-01-22,2603,32.3,2,09:00:04.816,1
2021-01-22,2603,32.25,10,09:00:04.912,2
2021-01-22,2603,32.3,1,09:00:05.270,1
2021-01-22,2603,32.25,10,09:00:05.902,2
2021-01-22,2603,32.3,5,09:00:05.915,1
2021-01-22,2603,32.25,1,09:00:05.957,2
2021-01-22,2603,32.3,1,09:00:05.996,1
2021-01-22,2603,32.25,20,09:00:06.368,2
2021-01-22,2603,32.25,7,09:00:06.413,0
2021-01-22,2603,32.2,3,09:00:06.886,2
2021-01-22,2603,32.25,1,09:00:07.221,1
2021-01-22,2603,32.25,10,09:00:07.663,1
2021-01-22,2603,32.2,2,09:00:08.169,2
2021-01-22,2603,32.2,10,09:00:08.204,2
2021-01-22,2603,32.2,5,09:00:09.018,2
2021-01-22,2603,32.2,10,09:00:09.021,2
2021-01-22,2603,32.2,3,09:00:09.222,2
2021-01-22,2603,32.25,3,09:00:09.431,1
2021-01-22,2603,32.2,1,09:00:09.473,2
2021-01-22,2603,32.25,1,09:00:09.564,1
2021-01-22,2603,32.2,5,09:00:09.613,2
2021-01-22,2603,32.2,1,09:00:09.841,2
2021-01-22,2603,32.2,1,09:00:09.855,2
2021-01-22,2603,32.2,20,09:00:10.129,2
2021-01-22,2603,32.2,5,09:00:10.164,2
2021-01-22,2603,32.2,8,09:00:10.313,2
2021-01-22,2603,32.2,12,09:00:10.503,2
2021-01-22,2603,32.2,12,09:00:10.601,0
2021-01-22,2603,32.15,2,09:00:10.862,2
2021-01-22,2603,32.25,1,09:00:11.039,1
2021-01-22,2603,32.25,1,09:00:11.089,1
2021-01-22,2603,32.25,2,09:00:11.227,1
2021-01-22,2603,32.15,10,09:00:11.231,2
2021-01-22,2603,32.15,1,09:00:11.416,2
2021-01-22,2603,32.15,1,09:00:11.610,2
2021-01-22,2603,32.2,1,09:00:12.187,1
2021-01-22,2603,32.15,1,09:00:12.222,2
2021-01-22,2603,32.15,1,09:00:12.330,2
2021-01-22,2603,32.2,1,09:00:12.394,1
2021-01-22,2603,32.15,2,09:00:12.414,2
2021-01-22,2603,32.2,1,09:00:12.562,1
2021-01-22,2603,32.2,2,09:00:12.589,1
2021-01-22,2603,32.15,5,09:00:12.616,2
2021-01-22,2603,32.15,2,09:00:12.751,2
2021-01-22,2603,32.15,1,09:00:12.805,2
2021-01-22,2603,32.2,1,09:00:12.893,1
2021-01-22,2603,32.2,1,09:00:13.031,1
2021-01-22,2603,32.2,1,09:00:13.215,1
2021-01-22,2603,32.15,13,09:00:13.299,2
2021-01-22,2603,32.2,1,09:00:13.363,1
2021-01-22,2603,32.15,1,09:00:13.466,2
2021-01-22,2603,32.15,2,09:00:13.518,2
2021-01-22,2603,32.2,2,09:00:13.579,1
2021-01-22,2603,32.15,4,09:00:13.962,2
2021-01-22,2603,32.15,1,09:00:14.383,2
2021-01-22,2603,32.15,1,09:00:14.517,2
2021-01-22,2603,32.15,1,09:00:14.616,2
2021-01-22,2603,32.15,4,09:00:14.647,2
2021-01-22,2603,32.15,1,09:00:14.740,2
2021-01-22,2603,32.2,22,09:00:14.777,1
2021-01-22,2603,32.2,1,09:00:15.106,2
2021-01-22,2603,32.2,1,09:00:15.135,0
2021-01-22,2603,32.2,1,09:00:15.183,1
2021-01-22,2603,32.2,1,09:00:15.345,1
2021-01-22,2603,32.15,2,09:00:15.473,2
2021-01-22,2603,32.15,6,09:00:15.606,2
